Batch,Generasi,Rute,Fitness,Jarak
304,8,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,9,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,10,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,11,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,12,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,13,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,14,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,15,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,16,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,17,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,18,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,19,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,20,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,21,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,22,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,23,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,24,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,25,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,26,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,27,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,28,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,29,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,30,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,31,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,32,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,33,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,34,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,35,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,36,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,37,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,38,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,39,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,40,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,41,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,42,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,43,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,44,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,45,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
304,46,Dago ➝ Kebon Kawung ➝ Lembong ➝ Buah Batu,0.113905,8.78
